"...1","Year","State","State ANSI","Value","CV (%)","Type","Condition","Metric"
230,2021,"WASHINGTON","53",49,"25.1","","SALES",""
231,2021,"WASHINGTON","53",1579,"53.4","","PRODUCTION"," CWT"
232,2021,"WASHINGTON","53",870017,"54.0","","SALES"," $"
233,2021,"WASHINGTON","53",1579,"53.4","","SALES"," CWT"
234,2021,"WASHINGTON","53",49,"25.1"," FRESH MARKET","SALES",""
235,2021,"WASHINGTON","53",863231,"53.8"," FRESH MARKET","SALES"," $"
236,2021,"WASHINGTON","53",1499,"54.0"," FRESH MARKET","SALES"," CWT"
237,2021,"WASHINGTON","53",4,"73.0"," PROCESSING","SALES",""
238,2021,"WASHINGTON","53",6786,"93.9"," PROCESSING","SALES"," $"
239,2021,"WASHINGTON","53",80,"82.3"," PROCESSING","SALES"," CWT"
240,2021,"WEST VIRGINIA","54",2,NA,"","SALES",""
241,2021,"WEST VIRGINIA","54",NA,NA,"","PRODUCTION"," CWT"
242,2021,"WEST VIRGINIA","54",NA,NA,"","SALES"," $"
243,2021,"WEST VIRGINIA","54",NA,NA,"","SALES"," CWT"
244,2021,"WEST VIRGINIA","54",2,NA," FRESH MARKET","SALES",""
245,2021,"WEST VIRGINIA","54",NA,NA," FRESH MARKET","SALES"," $"
246,2021,"WEST VIRGINIA","54",NA,NA," FRESH MARKET","SALES"," CWT"
247,2021,"WISCONSIN","55",28,"31.3","","SALES",""
248,2021,"WISCONSIN","55",426,"82.8","","PRODUCTION"," CWT"
249,2021,"WISCONSIN","55",128120,"76.4","","SALES"," $"
250,2021,"WISCONSIN","55",426,"82.8","","SALES"," CWT"
251,2021,"WISCONSIN","55",28,"31.3"," FRESH MARKET","SALES",""
252,2021,"WISCONSIN","55",128120,"76.4"," FRESH MARKET","SALES"," $"
253,2021,"WISCONSIN","55",426,"82.8"," FRESH MARKET","SALES"," CWT"
254,2019,"ALABAMA","01",2,"30.4","","SALES",""
255,2019,"ALABAMA","01",NA,NA,"","PRODUCTION"," CWT"
256,2019,"ALABAMA","01",NA,NA,"","SALES"," $"
257,2019,"ALABAMA","01",NA,NA,"","SALES"," CWT"
258,2019,"ALABAMA","01",2,"30.4"," FRESH MARKET","SALES",""
259,2019,"ALABAMA","01",NA,NA," FRESH MARKET","SALES"," $"
260,2019,"ALABAMA","01",NA,NA," FRESH MARKET","SALES"," CWT"
261,2019,"ALABAMA","01",2,NA," PROCESSING","SALES",""
262,2019,"ALABAMA","01",NA,NA," PROCESSING","SALES"," $"
263,2019,"ALABAMA","01",NA,NA," PROCESSING","SALES"," CWT"
264,2019,"ARIZONA","04",2,NA,"","SALES",""
